ID,POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LAT,LONG
,501-01141,501-01140,1,Black,MS,N,N,SFMTA,ON,0,114,JESSIE ST,7517000,MC5,Downtown,37.788173,-122.400748
,418-01060,-,0,Black,SS,N,N,SFMTA,ON,0,106,FOLSOM ST,5651000,MC5,South Embarcadero,37.790036,-122.391166
,561-00161,561-00160,1,Black,MS,N,N,SFMTA,ON,0,16,MAIN ST,8627000,MC5,Downtown,37.792681,-122.396111
,440-28090,-,0,Black,SS,N,N,SFMTA,ON,0,2809,GEARY BLVD,6047102,MC3, ,37.782092,-122.449202
,902-00610,-,0,Black,SS,Y,N,SFMTA,OFF,902,2450,CALIFORNIA ST,3558000,MC5,Fillmore,37.789205,-122.435045
,331-05810,-,0,Black,SS,Y,N,SFMTA,ON,0,581,BRYANT ST,3284000,MC5,South Embarcadero,37.779753,-122.397664
,650-36180,-,0,Black,SS,N,N,SFMTA,ON,0,3618,SACRAMENTO ST,11268000,MC3, ,37.787532,-122.452546
,663-33360,-,0,Black,SS,Y,N,SFMTA,ON,0,3336,STEINER ST,12156000,MC5,Marina,37.800521,-122.437804
,568-02211,568-02210,1,Black,MS,N,N,SFMTA,ON,0,221,MISSION ST,9085000,MC5,Downtown,37.791496,-122.395236
,568-02331,568-02330,1,Black,MS,N,N,SFMTA,ON,0,233,MISSION ST,9085000,MC5,Downtown,37.791374,-122.395389
,202-02141,202-02140,1,Black,MS,N,N,SFMTA,ON,0,214,02ND ST,135000,MC5,Downtown,37.786407,-122.397914
,501-01201,501-01200,1,Black,MS,N,N,SFMTA,ON,0,120,JESSIE ST,7517000,MC5,Downtown,37.788066,-122.400884
,418-01080,-,0,Black,SS,N,N,SFMTA,ON,0,108,FOLSOM ST,5651000,MC5,South Embarcadero,37.790027,-122.391178
,691-15130,-,0,Black,SS,N,N,SFMTA,ON,0,1513,UNION ST,12864000,MC3, ,37.79841,-122.424613
,561-00371,561-00370,1,Black,MS,N,N,SFMTA,ON,0,37,MAIN ST,8627000,MC5,Downtown,37.792601,-122.395755
,400-01441,400-01440,1,Black,MS,N,N,SFMTA,ON,0,144,EDDY ST,5059000,MC1, ,37.784227,-122.410781
,420-00621,420-00620,1,Black,MS,N,N,SFMTA,ON,0,62,FREMONT ST,5860000,MC5,Downtown,37.790546,-122.396926
,205-01461,205-01460,1,Black,MS,N,N,SFMTA,ON,0,146,05TH ST,295000,MC5,Downtown,37.781821,-122.405491
,202-03300,-,0,Black,SS,Y,N,SFMTA,ON,0,330,02ND ST,139000,MC5,South Embarcadero,37.784794,-122.395918
,684-01760,-,0,Black,SS,Y,N,SFMTA,ON,0,176,TOWNSEND ST,12657000,MC5,South Embarcadero,37.779412,-122.392197
,561-02101,561-02100,1,Black,MS,N,N,SFMTA,ON,0,210,MAIN ST,8629000,MC5,Downtown,37.790264,-122.393087
,859-00440,-,0,Black,SS,Y,N,PORT,ON,0,44,NORTH POINT ST,9686000,PortMC1, ,37.807334,-122.408092
,462-15280,-,0,Black,SS,N,N,SFMTA,ON,0,1528,HAIGHT ST,6619000,MC3, ,37.76995,-122.44787
,568-25250,-,0,Black,SS,Y,N,SFMTA,ON,0,2525,MISSION ST,9123000,MC5,Mission,37.756217,-122.41873
,651-00111,651-00110,1,Black,MS,N,N,SFMTA,ON,0,11,SANSOME ST,11542000,MC5,Downtown,37.790803,-122.400749
,209-04640,-,0,Black,SS,N,N,SFMTA,ON,0,464,09TH ST,458000,MC3, ,37.771372,-122.408772
,216-31150,-,0,Black,SS,Y,N,SFMTA,ON,0,3115,16TH ST,732000,MC5,Mission,37.764801,-122.422673
,724-00310,-,0,Black,SS,N,N,SFMTA,ON,0,31,WILLOW ST,13662000,MC3, ,37.783637,-122.418516
,440-05180,-,0,Black,SS,N,N,SFMTA,ON,0,518,GEARY ST,6112000,MC2, ,37.78691,-122.412259
,691-22270,-,0,Black,SS,N,N,SFMTA,ON,0,2227,UNION ST,12872000,MC3, ,37.796913,-122.436385
,502-06261,502-06260,1,Black,MS,N,N,SFMTA,ON,0,626,JONES ST,7572000,MC2, ,37.787447,-122.413229
,612-03040,612-03002,4,Black,MS,Y,N,SFMTA,ON,0,304,POLK ST,10549000,MC5,Civic Center,37.779476,-122.418303
,331-05830,-,0,Black,SS,Y,N,SFMTA,ON,0,583,BRYANT ST,3284000,MC5,South Embarcadero,37.779744,-122.397676
,359-05401,359-05400,1,Black,MS,N,N,SFMTA,ON,0,540,CLAY ST,4085000,MC5,Downtown,37.794768,-122.402954
,202-00131,202-00130,1,Black,MS,N,N,SFMTA,ON,0,13,02ND ST,129000,MC5,Downtown,37.789044,-122.40097
